#0	../exposure_folder/processed_data/metagenomic/bracken/D1RP_S9.bracken (18686 reads)
#1	../exposure_folder/processed_data/metagenomic/bracken/D1SG_S1.bracken (26032 reads)
#2	../exposure_folder/processed_data/metagenomic/bracken/D2RP_S10.bracken (94633 reads)
#3	../exposure_folder/processed_data/metagenomic/bracken/D2SG_S2.bracken (19637 reads)
#4	../exposure_folder/processed_data/metagenomic/bracken/L1RP_S13.bracken (4463 reads)
#5	../exposure_folder/processed_data/metagenomic/bracken/L1SG_S5.bracken (2791 reads)
#6	../exposure_folder/processed_data/metagenomic/bracken/L2RP_S14.bracken (28328 reads)
#7	../exposure_folder/processed_data/metagenomic/bracken/L2SG_S6.bracken (721 reads)
#8	../exposure_folder/processed_data/metagenomic/bracken/S1RP_S11.bracken (1367 reads)
#9	../exposure_folder/processed_data/metagenomic/bracken/S1SG_S3.bracken (1625 reads)
#10	../exposure_folder/processed_data/metagenomic/bracken/S2RP_S12.bracken (128911 reads)
#11	../exposure_folder/processed_data/metagenomic/bracken/S2SG_S4.bracken (3075 reads)
x	0	1	2	3	4	5	6	7	8	9	10	11
0	0.000	0.713	0.746	0.677	0.854	0.941	0.965	0.963	0.997	0.916	0.997	0.915
1	x.xxx	0.000	0.850	0.558	0.881	0.873	0.966	0.951	0.994	0.900	0.996	0.913
2	x.xxx	x.xxx	0.000	0.762	0.967	0.989	0.987	0.992	1.000	0.983	0.998	0.981
3	x.xxx	x.xxx	x.xxx	0.000	0.862	0.930	0.964	0.942	0.996	0.899	0.995	0.896
4	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.835	0.949	0.863	0.991	0.760	0.996	0.851
5	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.966	0.697	0.981	0.667	0.996	0.752
6	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.974	0.995	0.950	0.997	0.964
7	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.960	0.595	0.996	0.732
8	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.971	1.000	0.983
9	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.996	0.651
10	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.980
11	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000
