species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12792,3058,77198,3023,7,43,NA,9,NA,107,NA,444
Cutibacterium granulosum,8,14,56,119,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,99,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,88,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioidaceae bacterium,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,681,25,NA,5,NA,NA,NA,NA,NA,NA,NA,6
Arthrobacter sulfonylureivorans,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium intracellulare,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,20,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paraterrae,18,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium europaeum,8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium mageritense,31,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium novocastrense,17,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,170,75,NA,36,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kefirresidentii,28,52,243,10,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium pseudokroppenstedtii,27,8,4352,14,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium genitalium,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcoides fascians,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia insulae,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis sp. 2-15,192,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hoggarensis,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces venezuelae,121,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SJL17-4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00459,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces pristinaespiralis,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces luteogriseus,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodermatophilus sp. DSM 44513,41,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parafrankia sp. EAN1pec,18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jatrophihabitans sp. GAS493,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micromonospora sp. WMMD998,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermoleophilum album,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conexibacter sp. S30A1,12,6,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
Actinomycetota bacterium,7,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubrobacter xylanophilus,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acidimicrobiales bacterium,5,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,54,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
Lentilactobacillus parabuchneri,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus sp. PPSBB_11,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenibacillus pedocola,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermocaproicibacter melissae,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
uncultured Caproiciproducens sp.,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcoleus vaginatus,58,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,25,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichocoleus desertorum,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dehalogenimonas etheniformans,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas yindakuii,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas sp. R10,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenotrophomonas maltophilia,85,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenotrophomonas pavanii,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lysobacter sp. S4-A87,58,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoxanthomonas sp.,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xanthomonas hydrangeae,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermomonas sp. XSG,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dokdonella koreensis,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dyella terrae,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteibacter pinisoli,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tahibacter amnicola,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter johnsonii,94,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter haemolyticus,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter sp. KS-LM10,40,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter lanii,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moraxella sp. K02,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moraxella osloensis,21,28,10,44,NA,NA,NA,NA,NA,39,NA,NA
Aquirhabdus parva,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candidatus Sedimenticola sp. (ex Thyasira tokunagai),104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thiocapsa bogorovii,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klebsiella aerogenes,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rouxiella chamberiensis,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dickeya fangzhongdai,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas syringae,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas sp. KU26590,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
uncultured Pseudomonadales bacterium,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neptuniibacter halophilus,25,5,NA,NA,42,11,NA,NA,NA,NA,NA,NA
Chromohalobacter canadensis,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,39,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steroidobacter denitrificans,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shewanella halifaxensis,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathymodiolus thermophilus thioautotrophic gill symbiont,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1015,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CCGE-LA001,31,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
