Sample	BP	Sh	F	Si	ISi
D1RP_S9	0.4611985341668463	2.593618874405601	19.87505824895743	0.7620880489328539	4.203235674015253
D1SG_S1	0.2018689946097961	4.629859489572671	77.50342327094724	0.9453811255293322	18.308689252412808
D2RP_S10	0.751506302623254	0.9436552928898366	2.860119395656906	0.4170502330592688	1.7154136714865014
D2SG_S2	0.7030297715613627	1.3701880090088538	6.77138608186148	0.486726442443731	1.948278817948599
L1RP_S13	0.21890996687744654	2.778043255408502	8.652975138475632	0.8801686295506987	8.345060197931094
L1SG_S5	0.5658888126286891	2.171122284052475	7.690221958787177	0.6694303103944563	3.025080736208036
L2RP_S14	0.5835091643999288	0.8094705041946252	1.5709611970550192	0.5043068394179391	2.0173770378953053
L2SG_S6	0.800859291084855	0.9142111229953974	1.925289995291253	0.35084999009895046	1.5404759835903428
S1RP_S11	0.5267175572519084	1.6817607058503543	1.9408106233890814	0.6864592494691474	3.18937808979187
S1SG_S3	0.5329087048832272	1.7680953315904477	2.158658278579984	0.6901104475038544	3.2269561588799864
S2RP_S12	0.6771406849701413	1.4413396297796366	4.579946478610245	0.5260416793101708	2.1098901661743925
S2SG_S4	0.18546670720583763	2.692969247121161	5.09994455307385	0.8975459376125832	9.76047192954271
