species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2
Cutibacterium acnes,11090,2665,71678,2756
Rothia mucilaginosa,604,25,NA,NA
Cellulomonas fimi,64,48,NA,NA
Corynebacterium tuberculostearicum,120,90,NA,39
Corynebacterium marquesiae,50,NA,NA,NA
Corynebacterium kroppenstedtii,19,51,11836,43
Gordonia rubripertincta,96,NA,NA,NA
Mycobacterium sp. SMC-2,34,NA,NA,NA
Mycobacterium paragordonae,28,NA,NA,NA
Nocardia cyriacigeorgica,35,NA,NA,NA
Amycolatopsis carbonis,227,NA,NA,NA
Streptomyces sp. NBC_00057,105,NA,NA,NA
Parafrankia sp. EAN1pec,10,NA,NA,NA
Granulicatella adiacens,50,NA,NA,NA
Oscillatoria nigro-viridis,39,353,NA,NA
Alcaligenes faecalis,473,189,NA,NA
Alcaligenes sp. WGS1538,46,NA,NA,NA
Alcaligenes sp. SORT26,18,NA,NA,NA
Paraburkholderia fungorum,80,NA,NA,NA
Cupriavidus necator,67,NA,NA,NA
Herminiimonas arsenitoxidans,108,NA,NA,NA
Caldimonas aquatica,42,NA,NA,NA
Methylophilus methylotrophus,35,NA,NA,NA
Escherichia coli,210,NA,NA,NA
Klebsiella aerogenes,59,NA,NA,NA
Pseudoluteimonas lycopersici,103,NA,NA,NA
Luteimonas sp. MC1750,86,NA,NA,NA
Dyella telluris,27,NA,NA,NA
Acinetobacter haemolyticus,114,NA,NA,NA
Moraxella osloensis,27,46,NA,48
Neptuniibacter halophilus,46,NA,NA,NA
Methylocaldum szegediense,35,NA,NA,NA
Steroidobacter denitrificans,33,NA,NA,NA
Bradyrhizobium sp. CB1015,119,NA,NA,NA
Bradyrhizobium sp. ORS 278,19,NA,NA,NA
Bradyrhizobium arachidis,71,NA,NA,NA
Nitrobacter hamburgensis,15,29,NA,NA
Microvirga sp. RSM25,129,NA,NA,NA
Microvirga ossetica,38,120,NA,NA
Microvirga roseola,14,NA,NA,NA
Methylobacterium nodulans,26,NA,NA,NA
Rhizobium beringeri,83,NA,NA,NA
Rhizobium leguminosarum,22,NA,NA,NA
Sphingobium yanoikuyae,96,NA,NA,NA
Chitinophaga sancti,33,NA,NA,NA
Chitinophaga horti,13,NA,NA,NA
Edaphobacter paludis,14,NA,NA,NA
Homo sapiens,3349,6584,10626,14821
