species,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Rhodococcus sovatensis,1279,NA,NA,NA,NA,NA,NA,NA
Nocardia sp. NBC_01499,2,NA,NA,NA,NA,NA,NA,NA
Gordonia jinghuaiqii,245,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium confluentis,11,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium fluoranthenivorans,2,NA,NA,NA,NA,1,NA,NA
Mycolicibacterium diernhoferi,1,1,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-4,1,NA,NA,NA,NA,NA,NA,NA
Corynebacterium matruchotii,1,NA,NA,NA,NA,NA,NA,NA
Brevibacterium sp. CBA3109,171,5,NA,NA,NA,NA,NA,3
Brevibacterium sp. SMBL_HHYL_HB1,9,NA,NA,NA,NA,NA,NA,NA
Brevibacterium aurantiacum,213,28,NA,NA,NA,NA,NA,3
Brevibacterium sandarakinum,26,16,NA,NA,NA,NA,NA,3
Brevibacterium zhoupengii,5,NA,NA,NA,NA,NA,NA,3
Agromyces badenianii,6,1,NA,NA,NA,NA,NA,NA
Sanguibacter keddieii,3,1,NA,NA,NA,NA,NA,NA
Kocuria sp. TGY1127_2,1,21,NA,NA,NA,NA,NA,NA
Amycolatopsis mongoliensis,67,NA,NA,NA,NA,NA,NA,NA
Umezawaea sp. Da 62-37,1,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. CdTB01,19,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. cg36,3,NA,NA,NA,NA,NA,NA,NA
Streptomyces violaceusniger,2,NA,NA,NA,NA,NA,NA,NA
Streptomyces coeruleorubidus,2,NA,NA,NA,NA,NA,NA,NA
Streptomyces noursei,1,1,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_01484,4,NA,NA,NA,NA,NA,NA,NA
Cutibacterium acnes,4,13,3,7,NA,79,NA,365
Thermoactinomyces vulgaris,177,NA,NA,NA,NA,NA,NA,NA
Paenibacillus sp. FSL H8-0332,31,1,NA,NA,NA,NA,NA,NA
Paenibacillus sp. FSL R5-0912,5,NA,NA,NA,NA,NA,NA,NA
Bacillus velezensis,2,NA,NA,NA,NA,NA,NA,2
Staphylococcus capitis,1,NA,NA,NA,NA,3,NA,17
Streptococcus sp. 29896,8,NA,NA,NA,NA,NA,NA,NA
Natranaerofaba carboxydovora,4,NA,NA,NA,NA,NA,NA,NA
Blautia hydrogenotrophica,1,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. SK17,291,3,NA,NA,NA,NA,NA,NA
Tardiphaga sp. 709,5,NA,NA,NA,NA,NA,NA,NA
Bosea sp. UC22_33,1,NA,NA,NA,NA,NA,NA,NA
Aureimonas sp. SA4125,1,NA,NA,NA,NA,NA,NA,NA
Pararhizobium qamdonense,1,NA,NA,NA,NA,NA,NA,NA
Gluconobacter sphaericus,4,NA,NA,NA,NA,NA,NA,NA
Lichenicola cladoniae,1,5,NA,NA,NA,NA,NA,NA
Sphingomonas sp. M1-B02,2,NA,NA,NA,NA,NA,NA,NA
Novosphingobium sp. PP1Y,1,NA,NA,NA,NA,NA,NA,NA
Croceicoccus naphthovorans,1,NA,NA,NA,NA,NA,NA,NA
Candidatus Viadribacter manganicus,3,NA,NA,NA,NA,NA,NA,NA
Profundibacter amoris,1,NA,NA,NA,NA,NA,NA,NA
Klebsiella pneumoniae,40,NA,NA,NA,NA,NA,NA,NA
Raoultella planticola,8,NA,NA,NA,NA,NA,NA,NA
Enterobacter hormaechei,1,NA,NA,NA,NA,NA,NA,NA
Candidatus Pantoea soli,2,NA,NA,NA,NA,NA,NA,NA
Rhodanobacter sp. AS-Z3,13,1,NA,NA,NA,NA,NA,NA
Dyella thiooxydans,8,NA,NA,NA,NA,NA,NA,NA
Dyella caseinilytica,2,NA,NA,NA,NA,NA,NA,NA
Dyella telluris,1,NA,NA,NA,NA,NA,NA,NA
Lysobacter enzymogenes,19,NA,NA,NA,NA,NA,NA,NA
Lysobacter sp. K5869,1,NA,NA,NA,NA,NA,NA,NA
Stenotrophomonas sp. SAU14A_NAIMI4_8,1,NA,NA,NA,NA,NA,NA,NA
Neptuniibacter halophilus,27,7,5,NA,NA,2,11,1
Shewanella spartinae,20,NA,NA,NA,NA,NA,NA,NA
Marinobacter salinus,9,NA,NA,NA,NA,NA,NA,NA
Pseudomonas sp. S35,4,1,NA,NA,NA,NA,NA,NA
Vibrio sinaloensis,2,NA,NA,NA,NA,NA,1,NA
Photobacterium sp. TLY01,1,NA,NA,NA,NA,NA,NA,NA
Candidatus Thiodiazotropha sp. CDECU1,1,NA,NA,NA,NA,NA,NA,NA
Thiomicrorhabdus indica,1,NA,NA,NA,NA,NA,NA,NA
Delftia acidovorans,5,34,27226,NA,14,12,NA,22
Simplicispira suum,2,NA,NA,NA,NA,NA,NA,NA
Paraburkholderia sp. PGU19,2,NA,NA,NA,NA,NA,NA,NA
Paraburkholderia fungorum,1,NA,NA,NA,NA,NA,NA,NA
Cupriavidus sp. EM10,2,NA,NA,NA,NA,NA,NA,NA
Burkholderia pseudomallei,2,2,NA,NA,NA,NA,NA,NA
Oxalobacter vibrioformis,5,NA,NA,NA,NA,NA,NA,NA
Granulicella sp. WH15,14,4,NA,NA,NA,NA,NA,NA
Granulicella sp. 5B5,7,5,NA,NA,NA,NA,NA,NA
Edaphobacter sp. 12200R-103,17,NA,NA,NA,NA,NA,NA,NA
Edaphobacter paludis,1,5,NA,NA,NA,NA,NA,NA
Tunturibacter gelidoferens,8,10,NA,NA,NA,NA,NA,NA
Tunturibacter psychrotolerans,3,1,NA,NA,NA,NA,NA,NA
Acidisarcina polymorpha,9,2,NA,NA,NA,NA,NA,NA
Candidatus Korobacter versatilis,3,NA,NA,NA,NA,NA,NA,NA
Luteitalea sp. TBR-22,3,1,NA,NA,NA,NA,NA,NA
Gimesia maris,6,NA,NA,NA,NA,NA,NA,NA
Gimesia chilikensis,1,1,NA,NA,NA,NA,NA,NA
Hymenobacter sp. 5317J-9,1,1,NA,NA,NA,1,NA,NA
Hymenobacter sp. BRD128,1,1,NA,NA,NA,NA,NA,NA
Tenacibaculum maritimum,1,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,1620,488,819,NA,22,718,234,542
