species,DE3_S7,DE4_S8,DT3_S15,DT4_S16
Staphylococcus aureus,18898,18804,21175,20625
Staphylococcus saprophyticus,11,14,9,8
Staphylococcus argenteus,10,12,15,18
Staphylococcus agnetis,5,5,1,1
Staphylococcus epidermidis,5,7,5,5
Staphylococcus simiae,5,NA,1,2
Staphylococcus schweitzeri,3,8,12,5
Staphylococcus haemolyticus,3,NA,1,1
Staphylococcus capitis,2,1,2,1
Staphylococcus devriesei,2,1,1,NA
Staphylococcus pseudintermedius,1,1,NA,1
Staphylococcus ratti,1,NA,NA,NA
Staphylococcus warneri,1,3,4,NA
Staphylococcus arlettae,1,NA,NA,NA
Staphylococcus caprae,1,NA,NA,NA
Staphylococcus carnosus,1,NA,NA,NA
Macrococcoides caseolyticum,2,1,NA,NA
Listeria monocytogenes,17817,18595,20873,19928
Listeria innocua,84,79,98,95
Listeria welshimeri,22,15,16,10
Listeria ivanovii,16,16,7,8
Listeria swaminathanii,17,30,33,14
Listeria seeligeri,25,30,26,16
Listeria newyorkensis,1,NA,NA,NA
Listeria grayi,1,NA,NA,NA
Bacillus spizizenii,16797,18595,20839,19609
Bacillus subtilis,428,601,871,408
Bacillus inaquosorum,38,36,42,18
Bacillus velezensis,26,NA,68,65
Bacillus vallismortis,20,22,36,13
Bacillus halotolerans,15,3,9,8
Bacillus atrophaeus,8,6,7,2
Bacillus stercoris,17,59,44,25
Bacillus tequilensis,3,2,3,5
Bacillus sp. LJBS06,5,NA,NA,NA
Bacillus sp. FJAT-18017,1,NA,NA,NA
Bacillus sp. BC1-43,15,NA,NA,NA
Bacillus rugosus,15,6,17,5
Bacillus paranthracis,9,NA,NA,NA
Bacillus cabrialesii,7,7,6,3
Bacillus pumilus,1,NA,NA,NA
Priestia megaterium,1,NA,NA,NA
Rossellomorea marisflavi,1,NA,NA,NA
Alkalihalobacillus sp. LMS39,1,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,1,1,NA,1
Sporosarcina ureilytica,1,1,NA,1
Exiguobacterium mexicanum,1,NA,NA,1
Paenibacillus sp. FSL W8-0194,1,6,2,3
Enterococcus faecalis,17406,18047,20384,19323
Enterococcus sp. 9D6_DIV0238,3,10,5,3
Enterococcus sp. DIV2402,1,NA,NA,NA
Enterococcus sp. DIV0212c,1,NA,1,1
Enterococcus thailandicus,3,1,4,3
Enterococcus dispar,1,NA,NA,NA
Enterococcus hirae,1,NA,1,1
Enterococcus faecium,1,1,1,NA
Vagococcus hydrophili,1,NA,NA,NA
Vagococcus coleopterorum,1,NA,NA,NA
Limosilactobacillus fermentum,11535,13434,15796,14019
Limosilactobacillus gastricus,1,NA,NA,NA
Lactiplantibacillus plantarum,1,NA,3,2
Lactiplantibacillus pentosus,1,NA,NA,1
Companilactobacillus crustorum,1,NA,1,1
Companilactobacillus farciminis,1,NA,2,NA
Loigolactobacillus coryniformis,1,NA,NA,NA
Fructilactobacillus sanfranciscensis,1,NA,NA,NA
Lactobacillus sp. 3B(2020),1,1,NA,NA
Ligilactobacillus salivarius,1,NA,NA,NA
Marinilactibacillus sp. 15R,1,2,NA,NA
Ndongobacter massiliensis,1,NA,NA,NA
Haloimpatiens sp. FM7330,1,NA,NA,NA
Sporomusa termitida,1,NA,NA,NA
Actinomyces oris,15,20,17,11
Leucobacter tenebrionis,1,NA,NA,NA
Salinibacterium sp. ZJ70,1,NA,NA,NA
Prochlorococcus sp. MIT 0604,1,NA,NA,NA
Salmonella enterica,20848,24352,25815,26136
Salmonella sp. SA14318,20,20,9,NA
Salmonella sp. HY31,5,NA,NA,NA
Salmonella bongori,7,4,8,8
Escherichia coli,9298,11129,15313,11616
Escherichia albertii,11,15,5,7
Escherichia fergusonii,10,6,10,11
Escherichia marmotae,4,8,9,5
Escherichia sp. E4742,1,NA,4,5
Shigella sonnei,57,26,NA,14
Shigella flexneri,326,777,540,488
Shigella dysenteriae,36,51,27,47
Shigella boydii,58,109,101,60
Citrobacter werkmanii,4,3,1,5
Citrobacter portucalensis,2,NA,NA,NA
Citrobacter gillenii,3,NA,NA,NA
Citrobacter sedlakii,1,NA,NA,NA
Citrobacter braakii,4,4,3,NA
Klebsiella pneumoniae,10,6,NA,13
Klebsiella quasivariicola,1,NA,NA,NA
Klebsiella michiganensis,1,NA,1,1
Enterobacter roggenkampii,1,NA,NA,NA
Enterobacter hormaechei,3,NA,NA,NA
Enterobacter asburiae,2,NA,2,2
Enterobacter cloacae,1,NA,NA,3
Enterobacter sp. 638,2,NA,NA,NA
Enterobacter oligotrophicus,1,NA,NA,1
Enterobacter soli,1,NA,NA,NA
Kosakonia calanthes,3,NA,NA,2
Erwinia pyrifoliae,1,NA,NA,NA
Pantoea sp. SOD02,1,NA,NA,NA
Buchnera aphidicola,1,1,1,1
Proteus mirabilis,1,NA,1,NA
Xenorhabdus hominickii,1,NA,NA,NA
Pectobacterium atrosepticum,1,NA,NA,NA
Yersinia mollaretii,1,NA,NA,NA
Pseudomonas aeruginosa,10822,13961,15646,14206
Pseudomonas anguilliseptica,1,NA,NA,NA
Pseudomonas sp. CIP-10,83,108,146,95
Pseudomonas sp. L5B5,1,NA,NA,NA
Pseudomonas sp. CCOS 191,1,NA,NA,NA
Pseudomonas sp. nanlin1,1,NA,NA,NA
Pseudomonas sp. LRP2-20,1,NA,NA,NA
Pseudomonas sp. HR96,1,NA,NA,NA
Pseudomonas chlororaphis,1,4,NA,8
uncultured Pseudomonas sp.,1,NA,NA,NA
Pseudomonas agarici,1,NA,NA,1
Pseudomonas hormoni,1,NA,NA,NA
Pseudomonas rhizosphaerae,1,NA,NA,NA
Neptuniibacter halophilus,10,NA,23,10
Shewanella aestuarii,9,4,3,9
Vibrio sp. SCSIO 43135,1,NA,NA,NA
Vibrio chagasii,1,NA,NA,NA
Photobacterium damselae,1,NA,NA,NA
Spongiibacter taiwanensis,1,NA,NA,NA
Legionella cherrii,1,2,NA,NA
Burkholderia multivorans,13,22,18,15
Paraburkholderia sprentiae,1,NA,NA,NA
Janthinobacterium sp. Marseille,1,NA,NA,NA
Dechloromonas sp. TW-R-39-2,1,NA,1,NA
Rhizobium sp. SL42,1,NA,NA,NA
Pararhizobium sp. A13,1,NA,NA,NA
Hoeflea alexandrii,1,NA,NA,NA
Methylocystis sp. MJC1,1,NA,NA,NA
Skermanella rosea,1,NA,NA,NA
Tistrella mobilis,1,NA,NA,2
Novosphingobium decolorationis,1,NA,NA,NA
Neokomagataea tanensis,1,NA,1,NA
Ehrlichia canis,1,NA,NA,NA
uncultured Acetobacteroides sp.,2,NA,2,4
Chryseobacterium sp. MYb264,1,NA,NA,NA
Chryseobacterium camelliae,1,NA,NA,NA
Archangium violaceum,1,NA,NA,NA
Luteolibacter sp. SL250,1,NA,NA,NA
Pseudodesulfovibrio sediminis,1,NA,NA,NA
Bdellovibrio bacteriovorus,1,NA,1,NA
Edaphobacter lichenicola,1,NA,NA,1
Ilyobacter polytropus,1,NA,NA,NA
Homo sapiens,31,14,31,26
