Sample1	Sample2	Intersection	Union	Jaccard	N_Intersections
DS3_S6_human	NR3_S24_human	0	3646	0	0
DS3_S6_human	BS3_S3_human	0	4224	0	0
DS3_S6_human	LS1_S7_human	319	893814	0.000356898	5
DS3_S6_human	NR2_S23_human	0	3646	0	0
DS3_S6_human	LS2_S8_human	657	784081	0.000837924	12
DS3_S6_human	BR1_S10_human	0	10941	0	0
DS3_S6_human	DR3_S15_human	0	12365	0	0
DS3_S6_human	LR1_S16_human	0	275905	0	0
DS3_S6_human	LR2_S17_human	0	165196	0	0
DS3_S6_human	BS1_S1_human	0	5648	0	0
DS3_S6_human	LS3_S9_human	577	1192990	0.000483659	7
DS3_S6_human	DS1_S4_human	0	11322	0	0
DS3_S6_human	NR1_S22_human	0	3646	0	0
DS3_S6_human	DR1_S13_human	0	7631	0	0
DS3_S6_human	DS2_S5_human	0	19409	0	0
DS3_S6_human	BR2_S11_human	0	3646	0	0
DS3_S6_human	BR3_S12_human	0	5004	0	0
DS3_S6_human	LR3_S18_human	0	668236	0	0
DS3_S6_human	BS2_S2_human	0	4635	0	0
DS3_S6_human	DR2_S14_human	0	27750	0	0
NR3_S24_human	BS3_S3_human	0	578	0	0
NR3_S24_human	LS1_S7_human	0	890487	0	0
NR3_S24_human	NR2_S23_human	0	0	-nan	0
NR3_S24_human	LS2_S8_human	0	781092	0	0
NR3_S24_human	BR1_S10_human	0	7295	0	0
NR3_S24_human	DR3_S15_human	0	8719	0	0
NR3_S24_human	LR1_S16_human	0	272259	0	0
NR3_S24_human	LR2_S17_human	0	161550	0	0
NR3_S24_human	BS1_S1_human	0	2002	0	0
NR3_S24_human	LS3_S9_human	0	1189921	0	0
NR3_S24_human	DS1_S4_human	0	7676	0	0
NR3_S24_human	NR1_S22_human	0	0	-nan	0
NR3_S24_human	DR1_S13_human	0	3985	0	0
NR3_S24_human	DS2_S5_human	0	15763	0	0
NR3_S24_human	BR2_S11_human	0	0	-nan	0
NR3_S24_human	BR3_S12_human	0	1358	0	0
NR3_S24_human	LR3_S18_human	0	664590	0	0
NR3_S24_human	BS2_S2_human	0	989	0	0
NR3_S24_human	DR2_S14_human	0	24104	0	0
BS3_S3_human	LS1_S7_human	126	890939	0.000141424	2
BS3_S3_human	NR2_S23_human	0	578	0	0
BS3_S3_human	LS2_S8_human	126	781544	0.000161219	2
BS3_S3_human	BR1_S10_human	0	7873	0	0
BS3_S3_human	DR3_S15_human	0	9297	0	0
BS3_S3_human	LR1_S16_human	0	272837	0	0
BS3_S3_human	LR2_S17_human	0	162128	0	0
BS3_S3_human	BS1_S1_human	0	2580	0	0
BS3_S3_human	LS3_S9_human	126	1190373	0.000105849	2
BS3_S3_human	DS1_S4_human	0	8254	0	0
BS3_S3_human	NR1_S22_human	0	578	0	0
BS3_S3_human	DR1_S13_human	0	4563	0	0
BS3_S3_human	DS2_S5_human	0	16341	0	0
BS3_S3_human	BR2_S11_human	0	578	0	0
BS3_S3_human	BR3_S12_human	0	1936	0	0
BS3_S3_human	LR3_S18_human	0	665168	0	0
BS3_S3_human	BS2_S2_human	0	1567	0	0
BS3_S3_human	DR2_S14_human	0	24682	0	0
LS1_S7_human	NR2_S23_human	0	890487	0	0
LS1_S7_human	LS2_S8_human	55982	1615597	0.034651	992
LS1_S7_human	BR1_S10_human	44	897738	4.90121e-05	2
LS1_S7_human	DR3_S15_human	0	899206	0	0
LS1_S7_human	LR1_S16_human	1664	1161082	0.00143315	46
LS1_S7_human	LR2_S17_human	1872	1050165	0.00178258	56
LS1_S7_human	BS1_S1_human	268	892221	0.000300374	3
LS1_S7_human	LS3_S9_human	57981	2022427	0.028669	1031
LS1_S7_human	DS1_S4_human	187	897976	0.000208246	7
