#0	../hands_folder/processed_data/metagenomic/bracken/BR1_S10.bracken (36090 reads)
#1	../hands_folder/processed_data/metagenomic/bracken/BR2_S11.bracken (80458 reads)
#2	../hands_folder/processed_data/metagenomic/bracken/BR3_S12.bracken (58075 reads)
#3	../hands_folder/processed_data/metagenomic/bracken/BS1_S1.bracken (92 reads)
#4	../hands_folder/processed_data/metagenomic/bracken/BS2_S2.bracken (164 reads)
#5	../hands_folder/processed_data/metagenomic/bracken/BS3_S3.bracken (89 reads)
#6	../hands_folder/processed_data/metagenomic/bracken/DR1_S13.bracken (54013 reads)
#7	../hands_folder/processed_data/metagenomic/bracken/DR2_S14.bracken (97505 reads)
#8	../hands_folder/processed_data/metagenomic/bracken/DR3_S15.bracken (65015 reads)
#9	../hands_folder/processed_data/metagenomic/bracken/DS1_S4.bracken (859 reads)
#10	../hands_folder/processed_data/metagenomic/bracken/DS2_S5.bracken (570 reads)
#11	../hands_folder/processed_data/metagenomic/bracken/DS3_S6.bracken (353 reads)
#12	../hands_folder/processed_data/metagenomic/bracken/LR1_S16.bracken (142236 reads)
#13	../hands_folder/processed_data/metagenomic/bracken/LR2_S17.bracken (89130 reads)
#14	../hands_folder/processed_data/metagenomic/bracken/LR3_S18.bracken (586927 reads)
#15	../hands_folder/processed_data/metagenomic/bracken/LS1_S7.bracken (76388 reads)
#16	../hands_folder/processed_data/metagenomic/bracken/LS2_S8.bracken (77399 reads)
#17	../hands_folder/processed_data/metagenomic/bracken/LS3_S9.bracken (89009 reads)
#18	../hands_folder/processed_data/metagenomic/bracken/NR1_S22.bracken (284 reads)
#19	../hands_folder/processed_data/metagenomic/bracken/NR2_S23.bracken (3115 reads)
#20	../hands_folder/processed_data/metagenomic/bracken/NR3_S24.bracken (65 reads)
x	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
0	0.000	0.986	0.976	0.998	0.995	0.998	0.894	0.909	0.879	0.963	0.985	0.985	0.932	0.909	0.980	0.899	0.900	0.908	0.986	0.999	0.998
1	x.xxx	0.000	0.999	0.999	0.998	0.999	0.749	0.810	0.768	0.995	0.993	0.997	0.969	0.996	0.984	0.995	0.996	0.995	0.998	1.000	0.999
2	x.xxx	x.xxx	0.000	0.999	0.997	0.999	0.975	0.985	0.981	0.981	1.000	0.992	0.989	0.985	0.996	0.983	0.983	0.984	0.992	1.000	0.999
3	x.xxx	x.xxx	x.xxx	0.000	0.891	0.878	0.999	0.999	0.999	0.907	0.909	0.852	1.000	0.999	1.000	0.999	0.999	0.999	1.000	1.000	1.000
4	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.447	0.997	0.998	0.997	0.793	0.886	0.629	0.999	0.998	1.000	0.997	0.997	0.997	0.674	0.999	0.694
5	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.998	0.999	0.999	0.865	0.903	0.756	0.999	0.999	1.000	0.998	0.998	0.998	0.818	0.999	0.558
6	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.291	0.463	0.975	0.989	0.990	0.924	0.939	0.971	0.933	0.934	0.938	0.992	1.000	0.999
7	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.499	0.985	0.993	0.994	0.874	0.879	0.953	0.870	0.871	0.877	0.996	1.000	0.999
8	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.977	0.988	0.991	0.645	0.568	0.883	0.527	0.530	0.565	0.993	1.000	0.999
9	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.661	0.475	0.990	0.985	0.998	0.979	0.980	0.982	0.622	0.999	0.924
