#0	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/BR1_S10.bracken (34264 reads)
#1	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/BR2_S11.bracken (54330 reads)
#2	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/BR3_S12.bracken (58045 reads)
#3	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/BS1_S1.bracken (202 reads)
#4	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/BS2_S2.bracken (103 reads)
#5	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/BS3_S3.bracken (62 reads)
#6	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/DR1_S13.bracken (54185 reads)
#7	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/DR2_S14.bracken (97584 reads)
#8	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/DR3_S15.bracken (65071 reads)
#9	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/DS1_S4.bracken (756 reads)
#10	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/DS2_S5.bracken (1422 reads)
#11	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/DS3_S6.bracken (281 reads)
#12	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/LR1_S16.bracken (142562 reads)
#13	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/LR2_S17.bracken (89295 reads)
#14	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/LR3_S18.bracken (588131 reads)
#15	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/LS1_S7.bracken (75965 reads)
#16	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/LS2_S8.bracken (77066 reads)
#17	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/LS3_S9.bracken (88664 reads)
#18	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/NR1_S22.bracken (279 reads)
#19	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/NR2_S23.bracken (3104 reads)
#20	/scratch/users/k24087895/final_project/hands_folder/processed_data/metagenomic/bracken/NR3_S24.bracken (68 reads)
x	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
0	0.000	0.982	0.975	0.991	0.996	0.998	0.888	0.907	0.876	0.961	0.930	0.984	0.930	0.908	0.980	0.896	0.898	0.906	0.985	0.999	0.997
1	x.xxx	0.000	0.998	0.996	0.997	0.999	0.689	0.777	0.717	0.992	0.987	0.995	0.964	0.995	0.983	0.994	0.995	0.994	0.996	1.000	0.998
2	x.xxx	x.xxx	0.000	0.996	0.997	0.999	0.975	0.985	0.982	0.981	0.967	0.992	0.989	0.985	0.996	0.983	0.983	0.985	0.992	1.000	0.998
3	x.xxx	x.xxx	x.xxx	0.000	0.325	0.530	0.994	0.997	0.995	0.647	0.751	0.329	0.998	0.997	0.999	0.995	0.995	0.996	0.497	1.000	0.622
4	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.248	0.997	0.999	0.998	0.790	0.865	0.568	0.999	0.998	1.000	0.997	0.997	0.998	0.618	1.000	0.404
5	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.999	0.999	0.999	0.873	0.916	0.738	1.000	0.999	1.000	0.998	0.998	0.999	0.795	1.000	0.462
6	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.290	0.461	0.975	0.955	0.990	0.922	0.937	0.970	0.931	0.931	0.936	0.992	1.000	0.998
7	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.498	0.985	0.973	0.994	0.874	0.879	0.953	0.870	0.871	0.878	0.995	1.000	0.999
8	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.978	0.959	0.992	0.645	0.567	0.882	0.525	0.530	0.564	0.993	1.000	0.998
9	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.306	0.458	0.990	0.985	0.998	0.981	0.982	0.984	0.577	1.000	0.876
10	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.670	0.983	0.972	0.996	0.966	0.966	0.970	0.743	1.000	0.932
11	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.996	0.994	0.999	0.993	0.993	0.994	0.218	1.000	0.708
12	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.263	0.612	0.310	0.304	0.239	0.997	1.000	0.999
13	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.748	0.088	0.081	0.041	0.995	1.000	0.999
14	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.773	0.770	0.740	0.999	1.000	1.000
15	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.009	0.078	0.994	1.000	0.999
16	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.071	0.994	1.000	0.999
17	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.995	1.000	0.999
18	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	1.000	0.706
19	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	1.000
20	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000
