Sample1	Sample2	Intersection	Union	Jaccard	N_Intersections
C12_S36_human	B01_S13_human	1693	331981	0.00509969	12
C12_S36_human	A03_S3_human	4358	207652	0.020987	32
C12_S36_human	C02_S26_human	3066	94451	0.0324613	17
C12_S36_human	B02_S14_human	1816	470605	0.00385886	13
C12_S36_human	C10_S34_human	1188	60061	0.0197799	10
C12_S36_human	B04_S16_human	2184	168369	0.0129715	10
C12_S36_human	C08_S32_human	3852	128281	0.0300278	19
C12_S36_human	ENC_S37_human	0	75775	0	0
C12_S36_human	C09_S33_human	1237	53330	0.0231952	7
C12_S36_human	B06_S18_human	6047	2471271	0.00244692	51
C12_S36_human	C06_S30_human	2576	127614	0.0201859	19
C12_S36_human	A02_S2_human	3049	328571	0.00927958	16
C12_S36_human	C05_S29_human	2876	244748	0.0117509	21
C12_S36_human	B05_S17_human	4218	396069	0.0106497	25
C12_S36_human	A09_S9_human	2199	226022	0.00972914	10
C12_S36_human	C03_S27_human	1909	59621	0.0320189	18
C12_S36_human	B11_S23_human	2720	869598	0.00312788	19
C12_S36_human	B09_S21_human	3467	659124	0.00526001	27
C12_S36_human	Blank_S38_human	0	59582	0	0
C12_S36_human	B03_S15_human	0	42182	0	0
C12_S36_human	A06_S6_human	523	97362	0.00537171	4
C12_S36_human	A07_S7_human	565	704312	0.000802201	6
C12_S36_human	C04_S28_human	0	40567	0	0
C12_S36_human	A10_S10_human	3064	203354	0.0150673	22
C12_S36_human	A12_S12_human	2545	305933	0.00831881	15
C12_S36_human	C01_S25_human	0	176031	0	0
C12_S36_human	A01_S1_human	2776	408738	0.00679164	18
C12_S36_human	A08_S8_human	3213	237805	0.0135111	19
C12_S36_human	B07_S19_human	0	42852	0	0
C12_S36_human	B08_S20_human	1367	522476	0.00261639	10
C12_S36_human	A05_S5_human	3668	458457	0.00800075	19
C12_S36_human	A11_S11_human	2062	165163	0.0124846	12
C12_S36_human	B12_S24_human	2159	586100	0.00368367	13
C12_S36_human	A04_S4_human	1748	286313	0.00610521	15
C12_S36_human	B10_S22_human	1347	297655	0.00452537	11
C12_S36_human	C07_S31_human	0	44751	0	0
C12_S36_human	C11_S35_human	0	41818	0	0
B01_S13_human	A03_S3_human	9466	455084	0.0208006	39
B01_S13_human	C02_S26_human	2126	347931	0.00611041	10
B01_S13_human	B02_S14_human	30932	694029	0.0445687	112
B01_S13_human	C10_S34_human	2272	311517	0.00729334	14
B01_S13_human	B04_S16_human	4633	418460	0.0110715	22
B01_S13_human	C08_S32_human	3996	380677	0.0104971	24
B01_S13_human	ENC_S37_human	40	328275	0.000121849	1
B01_S13_human	C09_S33_human	1374	305733	0.00449412	8
B01_S13_human	B06_S18_human	41707	2688151	0.0155151	173
B01_S13_human	C06_S30_human	2938	379792	0.00773581	12
B01_S13_human	A02_S2_human	5634	578526	0.00973854	26
B01_S13_human	C05_S29_human	10248	489916	0.0209179	41
B01_S13_human	B05_S17_human	15081	637746	0.0236473	52
B01_S13_human	A09_S9_human	13722	467039	0.0293808	41
B01_S13_human	C03_S27_human	4116	309954	0.0132794	18
B01_S13_human	B11_S23_human	39380	1085478	0.0362789	156
B01_S13_human	B09_S21_human	34840	880291	0.0395778	129
B01_S13_human	Blank_S38_human	0	312122	0	0
B01_S13_human	B03_S15_human	223	294499	0.000757218	1
B01_S13_human	A06_S6_human	5103	345322	0.0147775	22
B01_S13_human	A07_S7_human	1808	955609	0.00189199	11
B01_S13_human	C04_S28_human	0	293107	0	0
B01_S13_human	A10_S10_human	5576	453382	0.0122987	24
B01_S13_human	A12_S12_human	15254	545764	0.0279498	60
B01_S13_human	C01_S25_human	501	428070	0.00117037	3
B01_S13_human	A01_S1_human	21875	642179	0.0340637	82
B01_S13_human	A08_S8_human	12175	481383	0.0252917	40
B01_S13_human	B07_S19_human	0	295392	0	0
B01_S13_human	B08_S20_human	27500	748883	0.0367214	102
B01_S13_human	A05_S5_human	25891	688774	0.03759	105
B01_S13_human	A11_S11_human	7042	412723	0.0170623	33
B01_S13_human	B12_S24_human	27968	812831	0.0344081	108
B01_S13_human	A04_S4_human	14232	526369	0.0270381	53
B01_S13_human	B10_S22_human	21483	530059	0.0405295	87
B01_S13_human	C07_S31_human	228	297063	0.000767514	1
B01_S13_human	C11_S35_human	0	294358	0	0
A03_S3_human	C02_S26_human	4037	224356	0.0179937	26
A03_S3_human	B02_S14_human	10599	592698	0.0178826	58
A03_S3_human	C10_S34_human	1964	190161	0.0103281	14
A03_S3_human	B04_S16_human	3372	298057	0.0113133	21
A03_S3_human	C08_S32_human	6129	256880	0.0238594	33
A03_S3_human	ENC_S37_human	0	206651	0	0
A03_S3_human	C09_S33_human	1426	184017	0.00774928	9
A03_S3_human	B06_S18_human	15368	2592826	0.00592712	86
A03_S3_human	C06_S30_human	4193	256873	0.0163232	23
A03_S3_human	A02_S2_human	5716	456780	0.0125137	33
A03_S3_human	C05_S29_human	6340	372160	0.0170357	41
A03_S3_human	B05_S17_human	11299	519864	0.0217345	51
A03_S3_human	A09_S9_human	6595	352502	0.0187091	28
A03_S3_human	C03_S27_human	3553	188853	0.0188136	24
A03_S3_human	B11_S23_human	12997	990197	0.0131257	69
A03_S3_human	B09_S21_human	10605	782862	0.0135464	56
A03_S3_human	Blank_S38_human	0	190458	0	0
A03_S3_human	B03_S15_human	223	172835	0.00129025	1
A03_S3_human	A06_S6_human	1772	226989	0.00780655	12
A03_S3_human	A07_S7_human	3085	832668	0.00370496	15
A03_S3_human	C04_S28_human	0	171443	0	0
A03_S3_human	A10_S10_human	6513	330781	0.0196898	36
A03_S3_human	A12_S12_human	8347	431007	0.0193663	42
A03_S3_human	C01_S25_human	626	306281	0.00204387	5
A03_S3_human	A01_S1_human	12006	530384	0.0226364	64
A03_S3_human	A08_S8_human	7000	364894	0.0191837	33
A03_S3_human	B07_S19_human	0	173728	0	0
A03_S3_human	B08_S20_human	9822	644897	0.0152303	48
A03_S3_human	A05_S5_human	11824	581177	0.0203449	57
A03_S3_human	A11_S11_human	3970	294131	0.0134974	25
A03_S3_human	B12_S24_human	10130	709005	0.0142876	56
A03_S3_human	A04_S4_human	5635	413302	0.0136341	30
A03_S3_human	B10_S22_human	8296	421582	0.0196783	45
A03_S3_human	C07_S31_human	0	175627	0	0
A03_S3_human	C11_S35_human	0	172694	0	0
C02_S26_human	B02_S14_human	2488	486316	0.00511602	11
C02_S26_human	C10_S34_human	1395	76237	0.0182982	11
C02_S26_human	B04_S16_human	1489	185447	0.00802925	8
C02_S26_human	C08_S32_human	3621	144895	0.0249905	27
C02_S26_human	ENC_S37_human	277	91881	0.00301477	1
C02_S26_human	C09_S33_human	1134	69816	0.0162427	6
C02_S26_human	B06_S18_human	4273	2489428	0.00171646	23
C02_S26_human	C06_S30_human	2489	144084	0.0172746	15
C02_S26_human	A02_S2_human	5068	342935	0.0147783	31
C02_S26_human	C05_S29_human	2034	261973	0.00776416	18
C02_S26_human	B05_S17_human	3067	413603	0.00741532	18
C02_S26_human	A09_S9_human	2182	242422	0.00900083	9
C02_S26_human	C03_S27_human	2011	75902	0.0264947	16
C02_S26_human	B11_S23_human	2923	885778	0.00329992	17
C02_S26_human	B09_S21_human	2189	676785	0.00323441	11
C02_S26_human	Blank_S38_human	179	75786	0.00236191	1
C02_S26_human	B03_S15_human	0	58565	0	0
C02_S26_human	A06_S6_human	570	113698	0.00501328	3
C02_S26_human	A07_S7_human	1084	720176	0.00150519	9
C02_S26_human	C04_S28_human	0	56950	0	0
C02_S26_human	A10_S10_human	3085	219716	0.0140409	23
C02_S26_human	A12_S12_human	3240	321621	0.010074	19
C02_S26_human	C01_S25_human	543	191871	0.00283003	2
C02_S26_human	A01_S1_human	3332	424565	0.00784803	17
C02_S26_human	A08_S8_human	1938	255463	0.00758623	10
C02_S26_human	B07_S19_human	0	59235	0	0
C02_S26_human	B08_S20_human	1889	538337	0.00350895	9
C02_S26_human	A05_S5_human	4210	474298	0.00887628	15
C02_S26_human	A11_S11_human	823	182785	0.00450256	4
C02_S26_human	B12_S24_human	1894	602748	0.00314228	9
C02_S26_human	A04_S4_human	1545	302899	0.00510071	14
C02_S26_human	B10_S22_human	2307	313078	0.00736877	12
C02_S26_human	C07_S31_human	0	61134	0	0
C02_S26_human	C11_S35_human	89	58112	0.00153153	1
B02_S14_human	C10_S34_human	2648	449888	0.00588591	13
B02_S14_human	B04_S16_human	7943	553897	0.0143402	35
B02_S14_human	C08_S32_human	6303	517117	0.0121887	36
B02_S14_human	ENC_S37_human	0	467062	0	0
B02_S14_human	C09_S33_human	2339	443515	0.00527378	12
B02_S14_human	B06_S18_human	51327	2817278	0.0182186	198
B02_S14_human	C06_S30_human	3981	517496	0.00769281	19
B02_S14_human	A02_S2_human	6317	716590	0.00881536	22
B02_S14_human	C05_S29_human	13125	625786	0.0209736	53
B02_S14_human	B05_S17_human	26577	764997	0.0347413	112
B02_S14_human	A09_S9_human	17868	601640	0.0296988	56
B02_S14_human	C03_S27_human	4224	448593	0.00941611	23
B02_S14_human	B11_S23_human	49621	1213984	0.0408745	196
B02_S14_human	B09_S21_human	42613	1011265	0.0421383	167
B02_S14_human	Blank_S38_human	0	450869	0	0
B02_S14_human	B03_S15_human	0	433469	0	0
B02_S14_human	A06_S6_human	4914	484258	0.0101475	20
B02_S14_human	A07_S7_human	2790	1093374	0.00255173	18
B02_S14_human	C04_S28_human	0	431854	0	0
B02_S14_human	A10_S10_human	6196	591509	0.0104749	25
B02_S14_human	A12_S12_human	14302	685463	0.0208647	51
B02_S14_human	C01_S25_human	484	566834	0.000853866	4
B02_S14_human	A01_S1_human	38164	764637	0.0499113	170
B02_S14_human	A08_S8_human	11770	620535	0.0189675	47
B02_S14_human	B07_S19_human	140	433999	0.000322581	2
B02_S14_human	B08_S20_human	38134	876996	0.0434825	129
B02_S14_human	A05_S5_human	36251	817161	0.0443621	118
B02_S14_human	A11_S11_human	7419	551093	0.0134623	35
B02_S14_human	B12_S24_human	43602	935944	0.0465861	173
B02_S14_human	A04_S4_human	23277	656071	0.0354794	89
B02_S14_human	B10_S22_human	26555	663734	0.0400085	104
B02_S14_human	C07_S31_human	559	435479	0.00128364	3
B02_S14_human	C11_S35_human	0	433105	0	0
C10_S34_human	B04_S16_human	721	149947	0.00480837	4
C10_S34_human	C08_S32_human	1629	110619	0.0147262	11
C10_S34_human	ENC_S37_human	0	55890	0	0
C10_S34_human	C09_S33_human	769	33913	0.0226757	6
C10_S34_human	B06_S18_human	2175	2455258	0.000885854	14
C10_S34_human	C06_S30_human	1331	108974	0.0122139	9
C10_S34_human	A02_S2_human	1688	310047	0.00544434	11
C10_S34_human	C05_S29_human	1451	226288	0.00641218	10
C10_S34_human	B05_S17_human	2753	377649	0.00728984	14
C10_S34_human	A09_S9_human	2771	205565	0.0134799	12
C10_S34_human	C03_S27_human	1075	40570	0.0264974	9
C10_S34_human	B11_S23_human	2262	850171	0.00266064	15
C10_S34_human	B09_S21_human	2135	640571	0.00333296	10
C10_S34_human	Blank_S38_human	0	39697	0	0
C10_S34_human	B03_S15_human	0	22297	0	0
C10_S34_human	A06_S6_human	390	77610	0.00502513	2
C10_S34_human	A07_S7_human	539	684453	0.00078749	9
C10_S34_human	C04_S28_human	0	20682	0	0
C10_S34_human	A10_S10_human	1086	185447	0.00585612	9
C10_S34_human	A12_S12_human	1283	287310	0.00446556	9
C10_S34_human	C01_S25_human	185	155961	0.00118619	1
C10_S34_human	A01_S1_human	2138	389491	0.00548922	11
C10_S34_human	A08_S8_human	1222	219911	0.00555679	8
C10_S34_human	B07_S19_human	0	22967	0	0
C10_S34_human	B08_S20_human	1512	502446	0.00300928	8
C10_S34_human	A05_S5_human	2035	440205	0.00462285	11
C10_S34_human	A11_S11_human	789	146551	0.00538379	8
C10_S34_human	B12_S24_human	2408	565966	0.00425467	11
C10_S34_human	A04_S4_human	1172	267004	0.00438945	11
C10_S34_human	B10_S22_human	1386	277731	0.00499044	5
C10_S34_human	C07_S31_human	0	24866	0	0
C10_S34_human	C11_S35_human	0	21933	0	0
B04_S16_human	C08_S32_human	3346	218206	0.0153341	19
B04_S16_human	ENC_S37_human	0	165194	0	0
B04_S16_human	C09_S33_human	1041	142945	0.00728252	6
B04_S16_human	B06_S18_human	10776	2555961	0.00421603	57
B04_S16_human	C06_S30_human	2186	217423	0.0100541	17
B04_S16_human	A02_S2_human	2332	418707	0.00556953	13
B04_S16_human	C05_S29_human	4435	332608	0.013334	26
B04_S16_human	B05_S17_human	4749	484957	0.00979262	28
B04_S16_human	A09_S9_human	4108	313532	0.0131023	19
B04_S16_human	C03_S27_human	1068	149881	0.00712565	6
B04_S16_human	B11_S23_human	8579	953158	0.00900061	52
B04_S16_human	B09_S21_human	9114	742896	0.0122682	41
B04_S16_human	Blank_S38_human	0	149001	0	0
B04_S16_human	B03_S15_human	0	131601	0	0
B04_S16_human	A06_S6_human	1669	185635	0.00899076	12
B04_S16_human	A07_S7_human	748	793548	0.000942602	9
B04_S16_human	C04_S28_human	0	129986	0	0
B04_S16_human	A10_S10_human	2331	293506	0.00794192	20
B04_S16_human	A12_S12_human	5953	391944	0.0151884	41
B04_S16_human	C01_S25_human	507	264943	0.00191362	3
B04_S16_human	A01_S1_human	7877	493056	0.0159759	46
B04_S16_human	A08_S8_human	4509	325928	0.0138343	24
B04_S16_human	B07_S19_human	140	132131	0.00105955	2
B04_S16_human	B08_S20_human	8130	605132	0.0134351	38
B04_S16_human	A05_S5_human	6567	544977	0.01205	32
B04_S16_human	A11_S11_human	2617	254027	0.0103021	20
B04_S16_human	B12_S24_human	7821	669857	0.0116756	43
B04_S16_human	A04_S4_human	5905	371575	0.0158918	35
B04_S16_human	B10_S22_human	4093	384328	0.0106498	20
B04_S16_human	C07_S31_human	0	134170	0	0
B04_S16_human	C11_S35_human	0	131237	0	0
C08_S32_human	ENC_S37_human	0	126774	0	0
C08_S32_human	C09_S33_human	1907	103659	0.0183969	11
C08_S32_human	B06_S18_human	8831	2519486	0.00350508	57
C08_S32_human	C06_S30_human	3880	177309	0.0218827	20
C08_S32_human	A02_S2_human	4319	378300	0.0114169	28
C08_S32_human	C05_S29_human	4862	293761	0.0165509	28
C08_S32_human	B05_S17_human	7606	443680	0.017143	49
C08_S32_human	A09_S9_human	4411	274809	0.0160511	19
C08_S32_human	C03_S27_human	1847	110682	0.0166874	17
C08_S32_human	B11_S23_human	8691	914626	0.00950224	54
C08_S32_human	B09_S21_human	7028	706562	0.00994676	48
C08_S32_human	Blank_S38_human	0	110581	0	0
C08_S32_human	B03_S15_human	0	93181	0	0
C08_S32_human	A06_S6_human	1228	147656	0.00831663	8
C08_S32_human	A07_S7_human	903	754973	0.00119607	3
C08_S32_human	C04_S28_human	0	91566	0	0
C08_S32_human	A10_S10_human	5143	252274	0.0203866	34
C08_S32_human	A12_S12_human	4937	354540	0.0139251	28
C08_S32_human	C01_S25_human	171	226859	0.000753772	1
C08_S32_human	A01_S1_human	7328	455185	0.0160989	40
C08_S32_human	A08_S8_human	3737	288280	0.0129631	22
C08_S32_human	B07_S19_human	0	93851	0	0
C08_S32_human	B08_S20_human	6630	568212	0.0116682	42
C08_S32_human	A05_S5_human	7616	505508	0.015066	41
C08_S32_human	A11_S11_human	3780	214444	0.017627	23
C08_S32_human	B12_S24_human	6860	632398	0.0108476	45
C08_S32_human	A04_S4_human	4374	334686	0.013069	29
C08_S32_human	B10_S22_human	4384	345617	0.0126846	22
C08_S32_human	C07_S31_human	0	95750	0	0
C08_S32_human	C11_S35_human	0	92817	0	0
ENC_S37_human	C09_S33_human	0	49208	0	0
ENC_S37_human	B06_S18_human	287	2471672	0.000116116	3
ENC_S37_human	C06_S30_human	20	124811	0.000160242	2
ENC_S37_human	A02_S2_human	98	326163	0.000300463	2
ENC_S37_human	C05_S29_human	874	241391	0.00362068	21
ENC_S37_human	B05_S17_human	0	394928	0	0
ENC_S37_human	A09_S9_human	0	222862	0	0
ENC_S37_human	C03_S27_human	0	56171	0	0
ENC_S37_human	B11_S23_human	143	866816	0.000164972	4
ENC_S37_human	B09_S21_human	78	657154	0.000118694	2
ENC_S37_human	Blank_S38_human	0	54223	0	0
ENC_S37_human	B03_S15_human	0	36823	0	0
ENC_S37_human	A06_S6_human	0	92526	0	0
ENC_S37_human	A07_S7_human	386	699132	0.000552113	4
ENC_S37_human	C04_S28_human	0	35208	0	0
ENC_S37_human	A10_S10_human	83	200976	0.000412985	2
ENC_S37_human	A12_S12_human	8	303111	2.6393e-05	2
ENC_S37_human	C01_S25_human	0	170672	0	0
ENC_S37_human	A01_S1_human	82	406073	0.000201934	2
ENC_S37_human	A08_S8_human	743	234916	0.00316283	15
ENC_S37_human	B07_S19_human	0	37493	0	0
ENC_S37_human	B08_S20_human	58	518426	0.000111877	1
ENC_S37_human	A05_S5_human	139	456627	0.000304406	3
ENC_S37_human	A11_S11_human	56	161810	0.000346085	2
ENC_S37_human	B12_S24_human	0	582900	0	0
ENC_S37_human	A04_S4_human	10	282692	3.53742e-05	2
ENC_S37_human	B10_S22_human	0	293643	0	0
ENC_S37_human	C07_S31_human	0	39392	0	0
ENC_S37_human	C11_S35_human	0	36459	0	0
C09_S33_human	B06_S18_human	1629	2449122	0.000665136	8
C09_S33_human	C06_S30_human	1117	102506	0.0108969	7
C09_S33_human	A02_S2_human	1412	303641	0.00465023	7
C09_S33_human	C05_S29_human	1470	219587	0.00669439	8
C09_S33_human	B05_S17_human	1598	372122	0.00429429	8
C09_S33_human	A09_S9_human	1692	199962	0.00846161	10
C09_S33_human	C03_S27_human	1000	33963	0.0294438	5
C09_S33_human	B11_S23_human	1994	843757	0.00236324	13
C09_S33_human	B09_S21_human	2042	633982	0.00322091	12
C09_S33_human	Blank_S38_human	0	33015	0	0
C09_S33_human	B03_S15_human	0	15615	0	0
C09_S33_human	A06_S6_human	343	70975	0.00483269	2
C09_S33_human	A07_S7_human	288	678022	0.000424765	3
C09_S33_human	C04_S28_human	0	14000	0	0
C09_S33_human	A10_S10_human	1639	178212	0.00919691	10
C09_S33_human	A12_S12_human	1719	280192	0.00613508	7
C09_S33_human	C01_S25_human	0	149464	0	0
C09_S33_human	A01_S1_human	2066	382881	0.00539593	11
C09_S33_human	A08_S8_human	1094	213357	0.00512756	6
C09_S33_human	B07_S19_human	0	16285	0	0
C09_S33_human	B08_S20_human	883	496393	0.00177883	6
C09_S33_human	A05_S5_human	1210	434348	0.00278578	6
C09_S33_human	A11_S11_human	1287	139371	0.00923435	6
C09_S33_human	B12_S24_human	2746	558946	0.00491282	15
C09_S33_human	A04_S4_human	1894	259600	0.00729584	11
C09_S33_human	B10_S22_human	1376	271059	0.00507639	6
C09_S33_human	C07_S31_human	0	18184	0	0
C09_S33_human	C11_S35_human	0	15251	0	0
B06_S18_human	C06_S30_human	5562	2520812	0.00220643	40
B06_S18_human	A02_S2_human	10440	2717364	0.00384196	87
B06_S18_human	C05_S29_human	14162	2629646	0.00538552	96
B06_S18_human	B05_S17_human	27318	2769153	0.00986511	142
