#0	../long_RP1/processed_data/metagenomic/bracken/A01_S1.bracken (223810 reads)
#1	../long_RP1/processed_data/metagenomic/bracken/A02_S2.bracken (149625 reads)
#2	../long_RP1/processed_data/metagenomic/bracken/A03_S3.bracken (229207 reads)
#3	../long_RP1/processed_data/metagenomic/bracken/A04_S4.bracken (134877 reads)
#4	../long_RP1/processed_data/metagenomic/bracken/A05_S5.bracken (246072 reads)
#5	../long_RP1/processed_data/metagenomic/bracken/A06_S6.bracken (75954 reads)
#6	../long_RP1/processed_data/metagenomic/bracken/A07_S7.bracken (85623 reads)
#7	../long_RP1/processed_data/metagenomic/bracken/A08_S8.bracken (384055 reads)
#8	../long_RP1/processed_data/metagenomic/bracken/A09_S9.bracken (281567 reads)
#9	../long_RP1/processed_data/metagenomic/bracken/A10_S10.bracken (212770 reads)
#10	../long_RP1/processed_data/metagenomic/bracken/A11_S11.bracken (306917 reads)
#11	../long_RP1/processed_data/metagenomic/bracken/A12_S12.bracken (259102 reads)
#12	../long_RP1/processed_data/metagenomic/bracken/B01_S13.bracken (81618 reads)
#13	../long_RP1/processed_data/metagenomic/bracken/B02_S14.bracken (243114 reads)
#14	../long_RP1/processed_data/metagenomic/bracken/B04_S16.bracken (224429 reads)
#15	../long_RP1/processed_data/metagenomic/bracken/B05_S17.bracken (616138 reads)
#16	../long_RP1/processed_data/metagenomic/bracken/B06_S18.bracken (213000 reads)
#17	../long_RP1/processed_data/metagenomic/bracken/B07_S19.bracken (175 reads)
#18	../long_RP1/processed_data/metagenomic/bracken/B08_S20.bracken (141749 reads)
#19	../long_RP1/processed_data/metagenomic/bracken/B09_S21.bracken (304066 reads)
#20	../long_RP1/processed_data/metagenomic/bracken/B10_S22.bracken (243261 reads)
#21	../long_RP1/processed_data/metagenomic/bracken/B11_S23.bracken (278327 reads)
#22	../long_RP1/processed_data/metagenomic/bracken/B12_S24.bracken (81259 reads)
#23	../long_RP1/processed_data/metagenomic/bracken/Blank_S38.bracken (116553 reads)
#24	../long_RP1/processed_data/metagenomic/bracken/C01_S25.bracken (185633 reads)
#25	../long_RP1/processed_data/metagenomic/bracken/C02_S26.bracken (182131 reads)
#26	../long_RP1/processed_data/metagenomic/bracken/C03_S27.bracken (46204 reads)
#27	../long_RP1/processed_data/metagenomic/bracken/C05_S29.bracken (142149 reads)
#28	../long_RP1/processed_data/metagenomic/bracken/C06_S30.bracken (173301 reads)
#29	../long_RP1/processed_data/metagenomic/bracken/C07_S31.bracken (13041 reads)
#30	../long_RP1/processed_data/metagenomic/bracken/C08_S32.bracken (117892 reads)
#31	../long_RP1/processed_data/metagenomic/bracken/C09_S33.bracken (93409 reads)
#32	../long_RP1/processed_data/metagenomic/bracken/C10_S34.bracken (99905 reads)
#33	../long_RP1/processed_data/metagenomic/bracken/C11_S35.bracken (21584 reads)
#34	../long_RP1/processed_data/metagenomic/bracken/C12_S36.bracken (111353 reads)
#35	../long_RP1/processed_data/metagenomic/bracken/ENC_S37.bracken (16304 reads)
x	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
0	0.000	0.356	0.156	0.412	0.179	0.602	0.507	0.373	0.424	0.697	0.282	0.210	0.585	0.629	0.575	0.545	0.245	0.998	0.727	0.624	0.577	0.310	0.691	0.553	0.146	0.494	0.971	0.403	0.363	0.890	0.533	0.912	0.949	0.996	0.961	0.866
1	x.xxx	0.000	0.391	0.268	0.413	0.472	0.334	0.570	0.464	0.636	0.496	0.437	0.461	0.563	0.495	0.699	0.364	0.998	0.653	0.575	0.501	0.462	0.601	0.428	0.316	0.377	0.958	0.255	0.293	0.840	0.409	0.895	0.950	0.997	0.950	0.806
2	x.xxx	x.xxx	0.000	0.371	0.070	0.610	0.514	0.281	0.428	0.704	0.188	0.086	0.551	0.594	0.542	0.466	0.224	0.998	0.683	0.603	0.543	0.282	0.642	0.560	0.138	0.518	0.967	0.408	0.355	0.892	0.489	0.922	0.959	0.997	0.932	0.869
3	x.xxx	x.xxx	x.xxx	0.000	0.420	0.435	0.308	0.564	0.497	0.623	0.515	0.400	0.330	0.477	0.402	0.671	0.312	0.997	0.553	0.504	0.408	0.431	0.455	0.395	0.323	0.379	0.952	0.247	0.304	0.824	0.278	0.890	0.944	0.997	0.881	0.787
4	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.625	0.539	0.311	0.433	0.714	0.212	0.133	0.601	0.623	0.568	0.483	0.267	0.999	0.713	0.626	0.572	0.316	0.685	0.580	0.193	0.535	0.967	0.425	0.381	0.899	0.532	0.925	0.962	0.999	0.960	0.877
5	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.263	0.741	0.667	0.587	0.689	0.644	0.244	0.625	0.604	0.828	0.587	0.995	0.566	0.686	0.626	0.660	0.440	0.383	0.545	0.539	0.958	0.455	0.522	0.707	0.386	0.869	0.935	0.998	0.946	0.652
6	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.676	0.585	0.570	0.613	0.558	0.269	0.537	0.511	0.783	0.488	0.996	0.566	0.608	0.537	0.581	0.458	0.256	0.440	0.430	0.953	0.335	0.400	0.736	0.253	0.871	0.937	0.995	0.944	0.682
7	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.561	0.781	0.145	0.260	0.700	0.705	0.667	0.511	0.425	0.999	0.787	0.699	0.666	0.459	0.772	0.696	0.372	0.654	0.981	0.584	0.552	0.934	0.658	0.948	0.976	0.999	0.942	0.920
8	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.736	0.504	0.458	0.653	0.671	0.625	0.674	0.407	0.999	0.766	0.669	0.624	0.476	0.742	0.616	0.378	0.578	0.974	0.485	0.451	0.911	0.602	0.934	0.969	0.995	0.965	0.892
9	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.743	0.720	0.575	0.715	0.696	0.841	0.689	0.998	0.722	0.745	0.715	0.732	0.686	0.619	0.671	0.669	0.967	0.641	0.666	0.884	0.608	0.908	0.955	0.997	0.958	0.860
10	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.179	0.664	0.671	0.626	0.480	0.355	0.999	0.761	0.670	0.626	0.397	0.739	0.641	0.280	0.597	0.968	0.511	0.473	0.918	0.609	0.927	0.965	0.998	0.946	0.900
11	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.575	0.598	0.547	0.438	0.233	0.999	0.680	0.603	0.549	0.302	0.641	0.595	0.196	0.554	0.971	0.454	0.411	0.904	0.498	0.929	0.963	0.999	0.898	0.883
12	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.558	0.535	0.791	0.504	0.996	0.473	0.626	0.559	0.597	0.315	0.395	0.501	0.528	0.931	0.448	0.502	0.724	0.285	0.858	0.928	0.997	0.855	0.671
13	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.117	0.445	0.449	0.999	0.281	0.134	0.119	0.302	0.515	0.577	0.578	0.600	0.957	0.531	0.541	0.898	0.354	0.925	0.962	0.999	0.798	0.876
14	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.482	0.385	0.998	0.265	0.187	0.098	0.243	0.486	0.554	0.516	0.540	0.954	0.447	0.468	0.890	0.319	0.921	0.959	0.999	0.779	0.866
15	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.506	0.999	0.634	0.359	0.445	0.396	0.773	0.792	0.553	0.753	0.981	0.668	0.640	0.959	0.682	0.965	0.982	1.000	0.754	0.949
16	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.998	0.501	0.474	0.393	0.170	0.477	0.538	0.160	0.501	0.952	0.365	0.330	0.885	0.330	0.917	0.958	0.998	0.803	0.860
17	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.998	0.999	0.999	0.999	0.996	0.999	0.998	0.998	0.992	0.999	0.998	0.989	0.997	0.996	0.999	1.000	0.997	0.979
18	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.378	0.282	0.372	0.293	0.635	0.669	0.701	0.934	0.645	0.646	0.832	0.333	0.893	0.946	0.998	0.743	0.796
19	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.156	0.346	0.590	0.638	0.590	0.607	0.965	0.536	0.543	0.918	0.446	0.937	0.967	0.999	0.815	0.900
20	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.265	0.516	0.577	0.522	0.543	0.957	0.480	0.494	0.898	0.354	0.926	0.962	0.999	0.812	0.876
21	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.559	0.614	0.236	0.573	0.962	0.469	0.415	0.910	0.410	0.932	0.965	0.997	0.836	0.891
22	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.556	0.618	0.656	0.911	0.587	0.596	0.723	0.219	0.855	0.927	0.995	0.677	0.670
23	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.496	0.491	0.970	0.412	0.475	0.799	0.351	0.896	0.947	0.996	0.957	0.758
24	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.469	0.964	0.339	0.305	0.869	0.449	0.908	0.957	0.997	0.922	0.841
25	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.970	0.398	0.447	0.866	0.476	0.882	0.924	0.997	0.960	0.838
26	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.951	0.953	0.917	0.935	0.943	0.964	1.000	0.924	0.917
27	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.225	0.832	0.396	0.907	0.952	0.997	0.842	0.799
28	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.860	0.424	0.910	0.949	0.995	0.872	0.830
29	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.801	0.794	0.899	1.000	0.920	0.111
30	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.882	0.940	1.000	0.731	0.760
31	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.362	0.996	0.935	0.798
32	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.997	0.951	0.902
33	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.998	1.000
34	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.920
35	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000
