#0	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A01_S1.bracken (228388 reads)
#1	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A02_S2.bracken (152301 reads)
#2	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A03_S3.bracken (235989 reads)
#3	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A04_S4.bracken (137198 reads)
#4	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A05_S5.bracken (250638 reads)
#5	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A06_S6.bracken (81545 reads)
#6	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A07_S7.bracken (86743 reads)
#7	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A08_S8.bracken (391238 reads)
#8	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A09_S9.bracken (285657 reads)
#9	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A10_S10.bracken (214740 reads)
#10	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A11_S11.bracken (309510 reads)
#11	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A12_S12.bracken (263741 reads)
#12	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B01_S13.bracken (82935 reads)
#13	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B02_S14.bracken (245284 reads)
#14	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B04_S16.bracken (229936 reads)
#15	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B05_S17.bracken (635409 reads)
#16	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B06_S18.bracken (216859 reads)
#17	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B07_S19.bracken (180 reads)
#18	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B08_S20.bracken (144452 reads)
#19	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B09_S21.bracken (309369 reads)
#20	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B10_S22.bracken (247532 reads)
#21	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B11_S23.bracken (283925 reads)
#22	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B12_S24.bracken (82824 reads)
#23	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/Blank_S38.bracken (119338 reads)
#24	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C01_S25.bracken (190031 reads)
#25	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C02_S26.bracken (195309 reads)
#26	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C03_S27.bracken (78328 reads)
#27	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C05_S29.bracken (149960 reads)
#28	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C06_S30.bracken (188369 reads)
#29	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C07_S31.bracken (13179 reads)
#30	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C08_S32.bracken (121793 reads)
#31	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C09_S33.bracken (94339 reads)
#32	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C10_S34.bracken (123363 reads)
#33	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C11_S35.bracken (33171 reads)
#34	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C12_S36.bracken (115826 reads)
#35	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/ENC_S37.bracken (16526 reads)
x	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
0	0.000	0.358	0.161	0.414	0.179	0.610	0.511	0.373	0.428	0.699	0.277	0.210	0.590	0.631	0.576	0.549	0.246	0.998	0.727	0.625	0.576	0.310	0.691	0.553	0.154	0.486	0.972	0.414	0.377	0.891	0.527	0.913	0.952	0.993	0.961	0.867
1	x.xxx	0.000	0.396	0.269	0.414	0.484	0.338	0.571	0.463	0.637	0.494	0.437	0.466	0.564	0.496	0.702	0.365	0.998	0.652	0.574	0.499	0.462	0.600	0.428	0.319	0.369	0.967	0.270	0.319	0.841	0.402	0.896	0.954	0.990	0.950	0.807
2	x.xxx	x.xxx	0.000	0.378	0.074	0.621	0.521	0.284	0.434	0.707	0.187	0.090	0.559	0.594	0.542	0.471	0.229	0.998	0.682	0.603	0.542	0.284	0.644	0.562	0.150	0.511	0.974	0.422	0.373	0.894	0.483	0.923	0.962	0.995	0.933	0.871
3	x.xxx	x.xxx	x.xxx	0.000	0.422	0.449	0.312	0.565	0.497	0.625	0.513	0.401	0.336	0.478	0.403	0.675	0.313	0.997	0.553	0.504	0.406	0.433	0.454	0.394	0.327	0.371	0.963	0.262	0.331	0.825	0.271	0.890	0.949	0.991	0.883	0.788
4	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.632	0.543	0.314	0.437	0.716	0.210	0.136	0.605	0.623	0.568	0.490	0.267	0.999	0.712	0.625	0.571	0.315	0.684	0.580	0.199	0.526	0.973	0.434	0.393	0.900	0.526	0.926	0.965	0.994	0.960	0.878
5	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.285	0.745	0.672	0.593	0.692	0.651	0.268	0.629	0.614	0.832	0.595	0.996	0.574	0.691	0.633	0.666	0.453	0.402	0.556	0.565	0.967	0.481	0.554	0.722	0.408	0.873	0.944	0.992	0.948	0.669
6	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.678	0.587	0.571	0.613	0.561	0.274	0.537	0.517	0.787	0.491	0.996	0.565	0.611	0.540	0.584	0.455	0.262	0.446	0.454	0.962	0.353	0.429	0.736	0.264	0.871	0.944	0.991	0.944	0.681
7	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.564	0.783	0.151	0.261	0.703	0.706	0.667	0.514	0.425	0.999	0.787	0.698	0.665	0.459	0.772	0.695	0.377	0.645	0.984	0.589	0.559	0.935	0.654	0.948	0.978	0.997	0.942	0.920
8	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.737	0.504	0.462	0.656	0.672	0.624	0.679	0.411	0.999	0.765	0.669	0.622	0.479	0.741	0.615	0.383	0.568	0.979	0.492	0.460	0.912	0.595	0.934	0.971	0.993	0.965	0.892
9	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.743	0.722	0.577	0.715	0.699	0.844	0.691	0.998	0.721	0.747	0.716	0.734	0.683	0.621	0.674	0.679	0.974	0.647	0.677	0.884	0.611	0.908	0.958	0.993	0.958	0.859
10	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.176	0.665	0.671	0.624	0.481	0.352	0.999	0.758	0.668	0.623	0.393	0.736	0.637	0.281	0.585	0.972	0.515	0.480	0.918	0.601	0.928	0.967	0.995	0.946	0.900
11	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.579	0.599	0.547	0.444	0.234	0.999	0.679	0.603	0.548	0.302	0.640	0.594	0.202	0.544	0.976	0.462	0.422	0.905	0.493	0.930	0.966	0.996	0.899	0.884
12	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.558	0.541	0.795	0.508	0.996	0.472	0.629	0.563	0.601	0.312	0.403	0.508	0.550	0.949	0.465	0.528	0.726	0.298	0.858	0.936	0.989	0.858	0.673
13	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.120	0.453	0.449	0.999	0.277	0.138	0.121	0.304	0.512	0.574	0.580	0.610	0.964	0.538	0.554	0.898	0.344	0.925	0.964	0.997	0.799	0.876
