Sample1	Sample2	Intersection	Union	Jaccard	N_Intersections
C12_S36_human	B01_S13_human	193218	26437885	0.00730838	1899
C12_S36_human	A03_S3_human	229300	29546868	0.00776055	2309
C12_S36_human	C02_S26_human	184412	24970625	0.00738516	1833
C12_S36_human	B02_S14_human	170824	22303810	0.00765896	1668
C12_S36_human	C10_S34_human	73376	13920145	0.00527121	694
C12_S36_human	B04_S16_human	153471	20615729	0.00744436	1495
C12_S36_human	C08_S32_human	243309	30269938	0.00803798	2494
C12_S36_human	ENC_S37_human	1016	9796217	0.000103714	17
C12_S36_human	C09_S33_human	60060	12728636	0.00471849	645
C12_S36_human	B06_S18_human	183713	24342150	0.00754711	1784
C12_S36_human	C06_S30_human	150643	20186632	0.00746251	1469
C12_S36_human	A02_S2_human	110489	16455660	0.00671435	1117
C12_S36_human	C05_S29_human	243020	31006149	0.0078378	2389
C12_S36_human	B05_S17_human	275272	32686973	0.00842146	2822
C12_S36_human	A09_S9_human	187341	27418045	0.00683276	1901
C12_S36_human	C03_S27_human	40435	11482026	0.00352159	396
C12_S36_human	B11_S23_human	253728	32603349	0.00778227	2591
C12_S36_human	B09_S21_human	590986	90912051	0.00650063	6268
C12_S36_human	Blank_S38_human	787	9820001	8.01426e-05	12
C12_S36_human	B03_S15_human	186767	24106486	0.00774758	1831
C12_S36_human	A06_S6_human	157851	23769567	0.00664089	1556
C12_S36_human	A07_S7_human	144459	18996785	0.00760439	1473
C12_S36_human	C04_S28_human	113191	19030673	0.00594782	997
C12_S36_human	A10_S10_human	166901	25098287	0.0066499	1696
C12_S36_human	A12_S12_human	277725	38580928	0.00719851	2861
C12_S36_human	C01_S25_human	63151	12740465	0.00495673	641
C12_S36_human	A01_S1_human	151481	21841127	0.00693558	1579
C12_S36_human	A08_S8_human	174513	21386130	0.0081601	1932
C12_S36_human	B07_S19_human	223801	27535076	0.00812785	2234
C12_S36_human	B08_S20_human	144336	18901331	0.00763629	1494
C12_S36_human	A05_S5_human	206095	27877610	0.00739285	2179
C12_S36_human	A11_S11_human	138718	23677915	0.00585854	1274
C12_S36_human	B12_S24_human	229930	30448205	0.00755151	2304
C12_S36_human	A04_S4_human	217531	29304684	0.00742308	2319
C12_S36_human	B10_S22_human	166412	23806867	0.00699008	1615
C12_S36_human	C07_S31_human	73852	13191133	0.00559861	778
C12_S36_human	C11_S35_human	1595	9793556	0.000162862	15
B01_S13_human	A03_S3_human	350426	36518697	0.0095958	3690
B01_S13_human	C02_S26_human	271852	31976140	0.00850171	2733
B01_S13_human	B02_S14_human	255316	29312273	0.00871021	2578
B01_S13_human	C10_S34_human	106898	20979578	0.00509534	1060
