#0	../long_SG/processed_data/metagenomic/bracken/A01_S1.bracken (211262 reads)
#1	../long_SG/processed_data/metagenomic/bracken/A02_S2.bracken (251413 reads)
#2	../long_SG/processed_data/metagenomic/bracken/A03_S3.bracken (306026 reads)
#3	../long_SG/processed_data/metagenomic/bracken/A04_S4.bracken (328167 reads)
#4	../long_SG/processed_data/metagenomic/bracken/A05_S5.bracken (279811 reads)
#5	../long_SG/processed_data/metagenomic/bracken/A06_S6.bracken (141974 reads)
#6	../long_SG/processed_data/metagenomic/bracken/A07_S7.bracken (183615 reads)
#7	../long_SG/processed_data/metagenomic/bracken/A08_S8.bracken (301035 reads)
#8	../long_SG/processed_data/metagenomic/bracken/A09_S9.bracken (172982 reads)
#9	../long_SG/processed_data/metagenomic/bracken/A10_S10.bracken (200361 reads)
#10	../long_SG/processed_data/metagenomic/bracken/A11_S11.bracken (55890 reads)
#11	../long_SG/processed_data/metagenomic/bracken/A12_S12.bracken (366817 reads)
#12	../long_SG/processed_data/metagenomic/bracken/B01_S13.bracken (240016 reads)
#13	../long_SG/processed_data/metagenomic/bracken/B02_S14.bracken (273250 reads)
#14	../long_SG/processed_data/metagenomic/bracken/B03_S15.bracken (222497 reads)
#15	../long_SG/processed_data/metagenomic/bracken/B04_S16.bracken (171871 reads)
#16	../long_SG/processed_data/metagenomic/bracken/B05_S17.bracken (561882 reads)
#17	../long_SG/processed_data/metagenomic/bracken/B06_S18.bracken (259745 reads)
#18	../long_SG/processed_data/metagenomic/bracken/B07_S19.bracken (397990 reads)
#19	../long_SG/processed_data/metagenomic/bracken/B08_S20.bracken (318878 reads)
#20	../long_SG/processed_data/metagenomic/bracken/B09_S21.bracken (3172844 reads)
#21	../long_SG/processed_data/metagenomic/bracken/B10_S22.bracken (193138 reads)
#22	../long_SG/processed_data/metagenomic/bracken/B11_S23.bracken (344705 reads)
#23	../long_SG/processed_data/metagenomic/bracken/B12_S24.bracken (247047 reads)
#24	../long_SG/processed_data/metagenomic/bracken/Blank_S38.bracken (6364 reads)
#25	../long_SG/processed_data/metagenomic/bracken/C01_S25.bracken (93550 reads)
#26	../long_SG/processed_data/metagenomic/bracken/C02_S26.bracken (176127 reads)
#27	../long_SG/processed_data/metagenomic/bracken/C03_S27.bracken (56527 reads)
#28	../long_SG/processed_data/metagenomic/bracken/C04_S28.bracken (52386 reads)
#29	../long_SG/processed_data/metagenomic/bracken/C05_S29.bracken (224497 reads)
#30	../long_SG/processed_data/metagenomic/bracken/C06_S30.bracken (161597 reads)
#31	../long_SG/processed_data/metagenomic/bracken/C07_S31.bracken (93115 reads)
#32	../long_SG/processed_data/metagenomic/bracken/C08_S32.bracken (294785 reads)
#33	../long_SG/processed_data/metagenomic/bracken/C09_S33.bracken (71717 reads)
#34	../long_SG/processed_data/metagenomic/bracken/C10_S34.bracken (75790 reads)
#35	../long_SG/processed_data/metagenomic/bracken/C11_S35.bracken (38374 reads)
#36	../long_SG/processed_data/metagenomic/bracken/C12_S36.bracken (139646 reads)
#37	../long_SG/processed_data/metagenomic/bracken/ENC_S37.bracken (2858 reads)
x	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
0	0.000	0.339	0.312	0.348	0.273	0.255	0.266	0.313	0.190	0.283	0.682	0.387	0.317	0.515	0.386	0.485	0.571	0.396	0.450	0.409	0.893	0.503	0.416	0.292	0.987	0.653	0.330	0.861	0.825	0.231	0.379	0.623	0.348	0.677	0.688	0.980	0.538	0.985
1	x.xxx	0.000	0.532	0.558	0.506	0.405	0.377	0.500	0.404	0.433	0.702	0.572	0.538	0.573	0.522	0.523	0.718	0.563	0.641	0.600	0.918	0.540	0.624	0.552	0.984	0.682	0.410	0.876	0.840	0.515	0.436	0.656	0.579	0.700	0.704	0.981	0.560	0.984
2	x.xxx	x.xxx	0.000	0.114	0.145	0.384	0.390	0.166	0.345	0.321	0.722	0.144	0.329	0.500	0.386	0.476	0.351	0.399	0.288	0.416	0.832	0.490	0.168	0.246	0.988	0.732	0.426	0.884	0.857	0.246	0.485	0.699	0.130	0.741	0.733	0.979	0.587	0.987
3	x.xxx	x.xxx	x.xxx	0.000	0.157	0.408	0.409	0.197	0.357	0.371	0.733	0.105	0.379	0.543	0.439	0.528	0.321	0.440	0.324	0.455	0.819	0.539	0.211	0.296	0.991	0.747	0.454	0.891	0.865	0.276	0.511	0.718	0.124	0.745	0.749	0.984	0.603	0.990
4	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.341	0.356	0.149	0.271	0.320	0.699	0.196	0.349	0.523	0.411	0.503	0.414	0.414	0.296	0.429	0.843	0.510	0.222	0.253	0.990	0.718	0.400	0.882	0.849	0.198	0.438	0.686	0.168	0.721	0.720	0.989	0.560	0.989
5	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.160	0.376	0.148	0.193	0.564	0.455	0.305	0.413	0.273	0.344	0.620	0.342	0.497	0.426	0.917	0.373	0.457	0.322	0.972	0.589	0.216	0.808	0.756	0.279	0.246	0.513	0.396	0.581	0.586	0.979	0.445	0.969
6	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.300	0.183	0.205	0.586	0.450	0.342	0.456	0.316	0.409	0.623	0.374	0.509	0.443	0.907	0.429	0.477	0.360	0.969	0.628	0.266	0.841	0.792	0.331	0.330	0.567	0.421	0.617	0.612	0.975	0.486	0.969
7	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.335	0.328	0.722	0.223	0.349	0.519	0.413	0.501	0.428	0.416	0.303	0.424	0.848	0.510	0.243	0.259	0.989	0.738	0.427	0.892	0.856	0.244	0.485	0.700	0.210	0.734	0.736	0.988	0.589	0.988
8	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.183	0.577	0.397	0.278	0.451	0.300	0.398	0.591	0.319	0.467	0.393	0.901	0.425	0.428	0.296	0.984	0.629	0.255	0.841	0.799	0.263	0.316	0.577	0.366	0.639	0.624	0.988	0.474	0.981
9	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.588	0.350	0.207	0.350	0.192	0.280	0.541	0.249	0.406	0.334	0.888	0.300	0.366	0.231	0.985	0.647	0.273	0.845	0.801	0.321	0.333	0.587	0.401	0.628	0.634	0.976	0.450	0.983
