"species","TotalReads"
"Bacillus spizizenii",40672
"Bacillus velezensis",233
"Bacillus amyloliquefaciens",24
"Bacillus siamensis",6
"Bacillus subtilis",6252
"Bacillus inaquosorum",154
"Bacillus vallismortis",138
"Bacillus halotolerans",76
"Bacillus mojavensis",18
"Bacillus stercoris",146
"Bacillus atrophaeus",34
"Bacillus tequilensis",49
"Bacillus licheniformis",40
"Bacillus paralicheniformis",2
"Bacillus sp. wens01",22
"Bacillus sp. FSL R5-0523",9
"Bacillus sp. FSL K6-1003",5
"Bacillus sp. DX3.1",2
"Bacillus sp. FSL R5-0560",5
"Bacillus sp. T3",2
"Bacillus sp. PS196",10
"Bacillus sp. FSL M8-0071",11
"Bacillus sp. JS",4
"Bacillus sp. MD-5",4
"Bacillus sp. FSL K6-1012",5
"Bacillus sp. OxB-1",1
"Bacillus sp. Y1",1
"Bacillus sp. DHVB1",2
"Bacillus sp. NEB1478",1
"Bacillus sp. FSL R5-0416",8
"Bacillus sp. SCS-153A",1
"Bacillus sp. YP1",143
"Bacillus sp. SD-4",9
"Bacillus rugosus",61
"Bacillus cabrialesii",40
"Bacillus mycoides",3
"Bacillus cereus",9
"Bacillus albus",5
"Bacillus thuringiensis",3
"uncultured Bacillus sp.",8
"Bacillus fonticola",3
"Bacillus pumilus",4
"Bacillus safensis",3
"Bacillus swezeyi",1
"Bacillus smithii",1
"Priestia megaterium",2
"Priestia aryabhattai",1
"Priestia koreensis",1
"Heyndrickxia coagulans",2
"Heyndrickxia vini",1
"Rossellomorea sp. FM04394",1
"Rossellomorea sp. AcN35-11",1
"Metabacillus endolithicus",2
"Psychrobacillus sp. FSL H8-0483",2
"Cytobacillus kochii",1
"Niallia circulans",1
"Halalkalibacter krulwichiae",1
"Mesobacillus jeotgali",1
"Ornithinibacillus sp. FSL M8-0202",1
"Neobacillus sp. DY30",1
"Ectobacillus sp. JY-23",1
"Salipaludibacillus sp. LMS25",1
"Staphylococcus aureus",25913
"Staphylococcus argenteus",22
"Staphylococcus schweitzeri",16
"Staphylococcus saprophyticus",14
"Staphylococcus epidermidis",11
"Staphylococcus simiae",9
"Staphylococcus pseudintermedius",8
"Staphylococcus hominis",7
"Staphylococcus saccharolyticus",5
"Staphylococcus warneri",6
"Staphylococcus taiwanensis",4
"Staphylococcus lugdunensis",4
"Staphylococcus simulans",3
"Staphylococcus chromogenes",3
"Staphylococcus edaphicus",3
"Staphylococcus equorum",5
"Staphylococcus haemolyticus",2
"Staphylococcus devriesei",2
"Staphylococcus pasteuri",2
"Staphylococcus ratti",2
"Staphylococcus capitis",2
"Staphylococcus lloydii",2
"Staphylococcus cohnii",1
"Staphylococcus arlettae",1
"Staphylococcus schleiferi",1
"Staphylococcus xylosus",1
