Run,Sample,Database,Runtime,MinHitGroups,TotalReads,KrakenClassified,KrakenUnclassified,BrackenThreshold,NumSpecies,SpeciesAboveThres,SpeciesBelowThres,KeptReads,DiscardedReads,RedistributedReads,NotRedistributedReads
run_2603_1225,ZC1_S4,k2_pluspfp_16gb_20241228,00:02:10,2,304354,165570,138784,10,208,27,181,47383,299,117833,55,
run_2603_1225,ZC2_S5,k2_pluspfp_16gb_20241228,00:02:10,2,294096,121660,172436,10,158,17,141,31504,280,89837,39,
run_2603_1225,ZC3_S6,k2_pluspfp_16gb_20241228,00:02:10,2,297184,134999,162185,10,193,27,166,38400,277,96271,51,
run_2603_1225,ZC4_S7,k2_pluspfp_16gb_20241228,00:02:10,2,264206,108999,155207,10,153,16,137,31372,250,77346,31,
run_2603_1225,ZP1_S20,k2_pluspfp_16gb_20241228,00:02:10,2,320064,152747,167317,10,170,23,147,42348,250,110110,39,
run_2603_1225,ZP2_S21,k2_pluspfp_16gb_20241228,00:02:10,2,319707,137178,182529,10,167,19,148,37454,275,99391,58,
run_2603_1225,ZP3_S22,k2_pluspfp_16gb_20241228,00:02:10,2,358997,150342,208655,10,178,18,160,40852,287,109144,59,
run_2603_1705,ZC1_S4,k2_pluspfp_16gb_20241228,00:05:40,2,287718,165391,122327,10,208,27,181,47334,298,117704,55,
run_2603_1705,ZC2_S5,k2_pluspfp_16gb_20241228,00:05:40,2,267587,121562,146025,10,158,17,141,31477,280,89766,39,
run_2603_1705,ZC3_S6,k2_pluspfp_16gb_20241228,00:05:40,2,273957,134866,139091,10,193,27,166,38359,277,96179,51,
run_2603_1705,ZC4_S7,k2_pluspfp_16gb_20241228,00:05:40,2,238889,108899,129990,10,153,16,137,31337,250,77282,30,
run_2603_1705,ZP1_S20,k2_pluspfp_16gb_20241228,00:05:40,2,299544,152624,146920,10,169,23,146,42313,249,110023,39,
run_2603_1705,ZP2_S21,k2_pluspfp_16gb_20241228,00:05:40,2,293458,137019,156439,10,166,19,147,37403,273,99285,58,
run_2603_1705,ZP3_S22,k2_pluspfp_16gb_20241228,00:05:40,2,326874,150240,176634,10,178,18,160,40823,287,109074,56,
run_2603_1718,ZC1_S4,core_nt_database,00:26:57,2,287718,284526,3192,10,1032,46,986,99303,1439,183447,337,
run_2603_1718,ZC2_S5,core_nt_database,00:26:57,2,267587,263560,4027,10,876,42,834,80438,1196,181701,225,
run_2603_1718,ZC3_S6,core_nt_database,00:26:57,2,273957,269270,4687,10,896,43,853,91117,1270,176702,181,
run_2603_1718,ZC4_S7,core_nt_database,00:26:57,2,238889,234796,4093,10,751,37,714,77061,1020,156514,201,
run_2603_1718,ZP1_S20,core_nt_database,00:26:57,2,299544,296315,3229,10,882,45,837,96922,1221,197955,217,
run_2603_1718,ZP2_S21,core_nt_database,00:26:57,2,293458,289342,4116,10,903,44,859,92143,1260,195712,227,
run_2603_1718,ZP3_S22,core_nt_database,00:26:57,2,326874,322783,4091,10,855,48,807,101559,1143,219858,223,
run_2603_1209,ZC1_S4,k2_eupathdb48_20230407,00:01:45,2,304354,14684,289670,10,187,24,163,13909,500,240,35,
run_2603_1209,ZC2_S5,k2_eupathdb48_20230407,00:01:45,2,294096,13188,280908,10,172,12,160,12465,477,202,44,
run_2603_1209,ZC3_S6,k2_eupathdb48_20230407,00:01:45,2,297184,15576,281608,10,181,12,169,14818,487,230,41,
run_2603_1209,ZC4_S7,k2_eupathdb48_20230407,00:01:45,2,264206,11887,252319,10,165,10,155,11282,387,145,73,
run_2603_1209,ZP1_S20,k2_eupathdb48_20230407,00:01:45,2,320064,11144,308920,10,185,14,171,10359,551,167,67,
run_2603_1209,ZP2_S21,k2_eupathdb48_20230407,00:01:45,2,319707,10509,309198,10,166,13,153,9891,421,157,40,
run_2603_1209,ZP3_S22,k2_eupathdb48_20230407,00:01:45,2,358997,11777,347220,10,180,14,166,11003,532,162,80,
run_2603_1236,ZC1_S4,k2_standard_20241228,00:08:57,2,304354,272227,32127,10,600,44,556,97466,930,173638,193,
run_2603_1236,ZC2_S5,k2_standard_20241228,00:08:57,2,294096,251998,42098,10,478,46,432,79495,694,171698,111,
run_2603_1236,ZC3_S6,k2_standard_20241228,00:08:57,2,297184,256292,40892,10,507,44,463,88482,774,166929,107,
run_2603_1236,ZC4_S7,k2_standard_20241228,00:08:57,2,264206,224455,39751,10,457,41,416,76236,632,147460,127,
run_2603_1236,ZP1_S20,k2_standard_20241228,00:08:57,2,320064,286813,33251,10,522,45,477,98817,793,187051,152,
run_2603_1236,ZP2_S21,k2_standard_20241228,00:08:57,2,319707,280484,39223,10,517,43,474,94149,793,185363,179,
run_2603_1236,ZP3_S22,k2_standard_20241228,00:08:57,2,358997,312522,46475,10,507,45,462,103851,763,207764,144,
run_2603_1231,ZC1_S4,k2_standard_08gb_20241228,00:01:13,2,304354,169032,135322,10,201,24,177,44244,293,124432,63,
run_2603_1231,ZC2_S5,k2_standard_08gb_20241228,00:01:13,2,294096,126706,167390,10,164,16,148,29438,278,96944,46,
run_2603_1231,ZC3_S6,k2_standard_08gb_20241228,00:01:13,2,297184,138673,158511,10,173,24,149,35490,242,102897,44,
run_2603_1231,ZC4_S7,k2_standard_08gb_20241228,00:01:13,2,264206,113081,151125,10,148,16,132,29729,239,83083,30,
run_2603_1231,ZP1_S20,k2_standard_08gb_20241228,00:01:13,2,320064,159981,160083,10,164,22,142,41693,238,118005,45,
run_2603_1231,ZP2_S21,k2_standard_08gb_20241228,00:01:13,2,319707,144474,175233,10,154,17,137,36946,268,107211,49,
run_2603_1231,ZP3_S22,k2_standard_08gb_20241228,00:01:13,2,358997,158496,200501,10,163,16,147,40346,284,117819,47,
run_2603_1200,ZC1_S4,k2_standard_16gb_20241228,00:05:37,2,304354,214302,90052,10,291,36,255,63509,348,150368,77,
run_2603_1200,ZC2_S5,k2_standard_16gb_20241228,00:05:37,2,294096,174763,119333,10,254,27,227,45443,349,128896,75,
