source_file,species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
1,Bacillus spizizenii,40672,NA,NA,NA,NA,NA,NA
1,Bacillus velezensis,233,NA,NA,NA,NA,NA,NA
1,Bacillus amyloliquefaciens,24,NA,NA,NA,NA,NA,NA
1,Bacillus siamensis,6,NA,NA,NA,NA,NA,NA
1,Bacillus subtilis,6252,NA,NA,NA,NA,NA,NA
1,Bacillus inaquosorum,154,NA,NA,NA,NA,NA,NA
1,Bacillus vallismortis,138,NA,NA,NA,NA,NA,NA
1,Bacillus halotolerans,76,NA,NA,NA,NA,NA,NA
1,Bacillus mojavensis,18,NA,NA,NA,NA,NA,NA
1,Bacillus stercoris,146,NA,NA,NA,NA,NA,NA
1,Bacillus atrophaeus,34,NA,NA,NA,NA,NA,NA
1,Bacillus tequilensis,49,NA,NA,NA,NA,NA,NA
1,Bacillus licheniformis,40,NA,NA,NA,NA,NA,NA
1,Bacillus paralicheniformis,2,NA,NA,NA,NA,NA,NA
1,Bacillus sp. wens01,22,NA,NA,NA,NA,NA,NA
1,Bacillus sp. FSL R5-0523,9,NA,NA,NA,NA,NA,NA
1,Bacillus sp. FSL K6-1003,5,NA,NA,NA,NA,NA,NA
1,Bacillus sp. DX3.1,2,NA,NA,NA,NA,NA,NA
1,Bacillus sp. FSL R5-0560,5,NA,NA,NA,NA,NA,NA
1,Bacillus sp. T3,2,NA,NA,NA,NA,NA,NA
1,Bacillus sp. PS196,10,NA,NA,NA,NA,NA,NA
1,Bacillus sp. FSL M8-0071,11,NA,NA,NA,NA,NA,NA
1,Bacillus sp. JS,4,NA,NA,NA,NA,NA,NA
1,Bacillus sp. MD-5,4,NA,NA,NA,NA,NA,NA
1,Bacillus sp. FSL K6-1012,5,NA,NA,NA,NA,NA,NA
1,Bacillus sp. OxB-1,1,NA,NA,NA,NA,NA,NA
1,Bacillus sp. Y1,1,NA,NA,NA,NA,NA,NA
1,Bacillus sp. DHVB1,2,NA,NA,NA,NA,NA,NA
1,Bacillus sp. NEB1478,1,NA,NA,NA,NA,NA,NA
1,Bacillus sp. FSL R5-0416,8,NA,NA,NA,NA,NA,NA
1,Bacillus sp. SCS-153A,1,NA,NA,NA,NA,NA,NA
1,Bacillus sp. YP1,143,NA,NA,NA,NA,NA,NA
1,Bacillus sp. SD-4,9,NA,NA,NA,NA,NA,NA
1,Bacillus rugosus,61,NA,NA,NA,NA,NA,NA
1,Bacillus cabrialesii,40,NA,NA,NA,NA,NA,NA
1,Bacillus mycoides,3,NA,NA,NA,NA,NA,NA
1,Bacillus cereus,9,NA,NA,NA,NA,NA,NA
1,Bacillus albus,5,NA,NA,NA,NA,NA,NA
1,Bacillus thuringiensis,3,NA,NA,NA,NA,NA,NA
