species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,40954,36126,35173,30206,35756,33263,37297
Bacillus subtilis,4436,5039,6976,2589,2223,3696,3308
Bacillus inaquosorum,141,178,151,112,128,115,134
Bacillus vallismortis,133,176,162,NA,123,119,112
Bacillus rugosus,57,62,61,NA,NA,57,50
Staphylococcus aureus,24512,19874,25420,24431,36375,37206,38461
Listeria monocytogenes,23467,19766,24588,26736,36855,37168,38806
Listeria innocua,327,155,251,342,302,439,390
Listeria welshimeri,56,NA,54,NA,64,55,56
Listeria swaminathanii,55,NA,76,76,83,80,68
Enterococcus faecalis,34246,29256,35697,31137,35636,36494,38234
Limosilactobacillus fermentum,16802,13658,16002,19478,27303,25497,30084
Salmonella enterica,53649,50848,43624,34870,41833,41605,47279
Salmonella bongori,70,209,49,NA,NA,NA,NA
Escherichia coli,39390,40465,39636,26688,31793,27056,32543
Escherichia albertii,92,61,64,47,50,NA,NA
Escherichia marmotae,57,NA,NA,NA,NA,NA,NA
Shigella flexneri,2275,1800,NA,NA,NA,NA,NA
Shigella dysenteriae,213,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,21716,21788,16695,15445,27000,24566,30514
Pseudomonas sp. CIP-10,633,412,470,547,390,NA,379
Homo sapiens,64,42,62,NA,74,75,76
